name                                                                                                         ,brand                  ,price       ,image                                                                                                                                                                                                                                                                     ,link

Раковина с пьедесталом Santeri Воротынский 57 1.3111.7.S00.10B.0 белая                                       ,Santeri                ,2990.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/0/1/01_44_124.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                                   ,https://glavsnab.net/umyvalnik-s-pedestalom-vorotynskiy-57-belyy-santeri-1-3111-7-s00-10b-0.html

Умывальник хирургический Rosa Атлантик 58                                                                    ,Rosa                   ,5295.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/0/1/01_44_134.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                                   ,https://glavsnab.net/umivalnik-hirurgicheskiy-rosa-atlantik-58.html

Раковина встраиваемая Duravit D-Code 033849 525х320 мм                                                       ,Duravit                ,23000.0000  ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/1/_/1_10.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                                        ,https://glavsnab.net/rakovina-vstroyennaya-duravit-d-code-belaya.html

Раковина подвесная Grohe Euro Ceramic 39327000                                                               ,Grohe                  ,9034.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/b/d/bd9b57d7-ff62-11e7-baa6-000d3a2b6ec6.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                        ,https://glavsnab.net/rakovina-podvesnaya-grohe-euro-ceramic-39327000.html

Раковина подвесная Santek Анимо-50 WH110496 500х400 мм                                                       ,Santek                 ,1930.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/5/a/5af8228894ef09f59a6effc070383dc7_2.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                          ,https://glavsnab.net/rakovina-santek-animo-50-wh110496.html

Раковина-столешница Laufen Palace 8.1270.6.000.104.1 1500х510 мм                                             ,Laufen                 ,112465.0000 ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/p/p/pp01_812706_381702_gcr_cgp_tf_ppt_a4.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                        ,https://glavsnab.net/rakovina-stoleshnica-laufen-palace-8-1270-6-000-104-1-1500h510-mm.html

Раковина подвесная Duravit D-Code 231065 650х500 мм                                                          ,Duravit                ,12858.0000  ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/4/4/44655_web2_prod_normal_2.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                    ,https://glavsnab.net/rakovina-duravit-d-code-belaya-65-50sm.html

Раковина накладная Villeroy & Boch Artis 41794301 Альпин 430х430 мм                                          ,Villeroy & Boch        ,84000.0000  ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/4/4/448f56e4fe155234dd764509e099c307.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                            ,https://glavsnab.net/rakovina-nakladnaya-villeroy-boch-artis-41794301-alpin-430h430-mm.html

Раковина угловая Ideal Standard Connect Space Arc E793101 480x440 мм                                         ,Ideal Standard         ,8697        ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/i/d/idealstandard_e7931_cuto_0f7fb773e74129c37e253163e1f0b874.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                   ,https://glavsnab.net/rakovina-uglovaya-ideal-standard-connect-space-arc-e793101-480x440-mm.html

Раковина подвесная Laufen Pro S 8.1096.4.000.104.1 650х465 мм                                                ,Laufen                 ,15277.0000  ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/p/p/pp01_810963_citypro_110_cgp_gcr_q_tf_ppt_a4_1.jpeg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                              ,https://glavsnab.net/rakovina-podvesnaya-laufen-pro-s-8-1096-4-000-104-1-650h465-mm.html

Раковина подвесная Оскольская керамика Престиж 635х464 мм                                                    ,Оскольская керамика    ,2349.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/f/i/file_229_26.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                                 ,https://glavsnab.net/umyvalnik-oskolskaya-keramika-prestizh.html

Раковина Акватон Тигода 70 1WH302083 705х485 мм                                                              ,Акватон                ,10349.0000  ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/7/0/700x525_1.png?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                                   ,https://glavsnab.net/rakovina-akvaton-tigoda-70-1wh302083-705h485-mm.html

Раковина встраиваемая Cersanit Calla S-UM-Cl/1-w 535х410 мм                                                  ,Cersanit               ,4090.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/1/4/14_1_5.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                                      ,https://glavsnab.net/rakovina-vstraivaemaya-cersanit-calla-s-um-cl-1-w-535h410-mm.html

Раковина подвесная Duravit Durastyle 070845 450х335 мм                                                       ,Duravit                ,15001.0000  ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/1/6/1613085_web2_prod_normal_2.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                  ,https://glavsnab.net/rakovina-duravit-durastyle-belaya-45x33-5sm-s-1-otverstiyem-bez-krepleniy-708450000.html

Раковина Villeroy & Boch O'Novo 53605001 500х400 мм                                                          ,Villeroy & Boch        ,13800.0000  ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/0/9/097255.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                                      ,https://glavsnab.net/rakovina-villeroy-boch-o-novo-5360-5001.html

Раковина подвесная Santek Анимо-60 1WH110508 590х480 мм                                                      ,Santek                 ,2191.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/5/e/5eaceebb5590b3c762a60be8c891dd88_2.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                          ,https://glavsnab.net/rakovina-santek-animo-60-wh110508.html

Раковина подвесная Duravit D-Code 231060 600х460 мм                                                          ,Duravit                ,8286.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/4/4/44644_web2_prod_normal_2.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                    ,https://glavsnab.net/rakovina-duravit-d-code-belaya-60-46sm.html

Мини-раковина Laufen Pro A 8.1195.1.000.104.1 450х340 мм                                                     ,Laufen                 ,13429.0000  ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/p/p/pp01_811951_gcr_q_tf_ppt_a4.jpeg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                ,https://glavsnab.net/mini-rakovina-laufen-pro-a-8-1195-1-000-104-1-45-sm.html

Раковина подвесная Roca Gap 327475 550х470 мм                                                                ,Roca                   ,20235.0000  ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/0/0/004_00846_00_1_tf_web_big_1__1.jpeg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                             ,https://glavsnab.net/umyvalnik-roca-gap-327475000-belyy-s-1-otverstiyem.html

Раковина встраиваемая Santek Байкал WH109651 65 см                                                           ,Santek                 ,3230.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/s/a/santek_gallery_47_885184.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                    ,https://glavsnab.net/rakovina-santek-baykal-65-wh109651.html

